筆次,作物,藥劑,判定,確認層級,依據
11,十字花科根菜類,賽滅松,誤判,人工已確認,有效證0筆(僅歷史/無效證)
12,十字花科乾豆類,可芬諾,誤判,人工已確認,農業端十字花科乾豆類即油菜籽;Chromafenozide油菜籽0.5
13,大豆,畢達本,誤判,人工已確認,登記限毛豆使用;Pyridaben毛豆0.1
15,小麥,納乃得,確認,人工已確認,Methomyl無小麥/麥類/穀類通用列
16,木瓜,嘉賜銅,確認,人工已確認,Copper oxychloride免訂;Kasugamycin無木瓜/大漿果類
17,水稻,克熱淨,誤判,人工已確認,成分為Iminoctadine(非Guazatine);米類0.05
18,水稻,聚乙醛,確認,人工已確認,"Metaldehyde僅火龍果0.07,無水稻/米類"
19,仙草,納乃得,確認,人工已確認,"Methomyl無仙草,無可涵蓋群組"
20,仙草,畢達本,確認,人工已確認,Pyridaben無仙草
21,瓜果類,安美速,誤判,人工已確認,西瓜/香瓜/洋香瓜Amisulbrom0.2全覆蓋
22,瓜果類,克熱淨(烷苯磺酸鹽),誤判,人工已確認,三瓜Iminoctadine0.2全覆蓋
23,瓜果類,依得利,誤判,人工已確認,三瓜Etridiazole0.5全覆蓋
24,瓜果類,殺紋依得利,誤判,人工已確認,Etridiazole三瓜0.5;Hymexazol瓜果類0.5
25,瓜果類,脫克松,部分確認,人工已確認,洋香瓜0.1有;西瓜/香瓜無→拆分
26,瓜果類,賽福芬胺,誤判,人工已確認,Cyflufenamid三瓜0.07;Triflumizole瓜果類1.0
27,瓜菜類,安美速,誤判,人工已確認,瓜菜類成員Amisulbrom0.5全覆蓋
28,瓜菜類,克熱淨(烷苯磺酸鹽),誤判,人工已確認,登記胡瓜除外;其餘成員Iminoctadine0.3
29,瓜菜類,嘉賜銅,確認,人工已確認,Copper免訂;Kasugamycin無瓜菜類及成員
30,瓜菜類,賽福芬胺,誤判,人工已確認,Cyflufenamid成員全覆蓋;Triflumizole瓜菜類0.5
31,甘藍,安美速,誤判,人工已確認,甘藍屬十字花科包葉菜類;Amisulbrom1.0
32,甘藍,嘉賜銅,確認,人工已確認,Copper免訂;Kasugamycin無甘藍/十字花科包葉菜類
33,甘藷,三得芬,誤判,人工已確認,有效證0筆
34,甘藷,白克松,誤判,人工已確認,有效證0筆
39,艾草,納乃得,確認,人工已確認,Methomyl無艾草/香辛植物類
40,李,克熱淨,誤判,人工已確認,Iminoctadine李0.5(非Guazatine)
45,豆菜類,畢達本,部分確認,AI判定(待人工簽核),菜豆無;豌豆/毛豆等11成員0.4
46,枇杷,克熱淨,誤判,AI判定(待人工簽核),Iminoctadine枇杷0.5(非Guazatine)
49,柑桔類,嘉賜銅,確認,AI判定(待人工簽核),Copper免訂;Kasugamycin柑桔/檸檬/柚子/葡萄柚全無
50,洋甘菊,納乃得,確認,AI判定(待人工簽核),洋甘菊屬香辛植物及其他草木本植物;Methomyl均無
51,洋蔥,嘉賜銅,確認,人工已確認,Kasugamycin洋蔥查無;Copper免訂
52,胡瓜,嘉賜銅,確認,人工已確認,Kasugamycin胡瓜查無;Copper免訂
57,茄科果菜類,可芬諾,誤判,人工已確認,茄科果菜類成員Chromafenozide全覆蓋
58,茄科果菜類,安美速,誤判,人工已確認,茄科果菜類成員Amisulbrom全覆蓋
59,茄科果菜類,氟速芬,誤判,人工已確認,茄科果菜類成員Fluensulfone全覆蓋
60,茄科果菜類,賜滅芬,誤判,人工已確認,茄科果菜類成員Spiromesifen全覆蓋
61,桃,克熱淨,誤判,AI判定(待人工簽核),Iminoctadine桃0.5(同義詞)
62,茶,快得寧,確認,AI判定(待人工簽核),Oxine-copper茶查無
63,婆羅門參,殺紋依得利,確認,AI判定(待人工簽核),Hymexazol婆羅門參查無
64,旋花科小葉菜類,可芬諾,誤判,AI判定(待人工簽核),旋花科小葉菜類(蕹菜/葉用甘藷)全覆蓋
65,旋花科根菜類,可芬諾,誤判,AI判定(待人工簽核),旋花科根菜類(甘藷)全覆蓋
66,梅,克熱淨,誤判,AI判定(待人工簽核),Iminoctadine梅0.5
67,梨,克熱淨,誤判,AI判定(待人工簽核),Iminoctadine梨0.5
68,甜椒,嘉賜銅,確認,AI判定(待人工簽核),Kasugamycin甜椒查無
69,棉,覆滅蟎,確認,AI判定(待人工簽核),Formetanate棉查無
70,番茄,嘉賜銅,確認,AI判定(待人工簽核),Kasugamycin番茄查無
71,菊科小葉菜類,可芬諾,誤判,AI判定(待人工簽核),菊科小葉菜類成員全覆蓋
77,黑婆羅門參,鋅錳座賽胺,確認,AI判定(待人工簽核),Zoxamide黑婆羅門參查無
78,葡萄,克熱淨,誤判,AI判定(待人工簽核),Iminoctadine葡萄1.0
81,蓮霧,嘉賜快得寧,確認,AI判定(待人工簽核),Kasugamycin蓮霧查無
82,蓮霧,嘉賜貝芬,確認,AI判定(待人工簽核),Kasugamycin/Carbendazim蓮霧查無
83,蓮霧,嘉賜銅,確認,AI判定(待人工簽核),Kasugamycin蓮霧查無;Copper免訂
84,蔥科小葉菜類,可芬諾,誤判,AI判定(待人工簽核),蔥科小葉菜類(蔥/韭/蒜)全覆蓋
85,蔥科小葉菜類,嘉賜銅,誤判,AI判定(待人工簽核),蔥科小葉菜類Kasugamycin全覆蓋;Copper免訂
86,蔥科根菜類,可芬諾,誤判,AI判定(待人工簽核),蔥科根菜類(洋蔥/蕗蕎/蒜)全覆蓋
87,蔥科根菜類,免扶克,確認,AI判定(待人工簽核),"Benfuracarb僅小葉菜類/包葉菜類/米類/柑桔類/蓮霧5列,洋蔥/蕗蕎/蒜全無"
88,蔥科根菜類,嘉賜銅,部分確認,AI判定(待人工簽核),蕗蕎/蒜有洋蔥無(Kasugamycin)
89,豌豆,培丹,確認,AI判定(待人工簽核),Cartap豌豆查無
90,豌豆,脫克松,確認,AI判定(待人工簽核),Tolclofos-methyl豌豆查無
91,樹薯,畢達本,確認,AI判定(待人工簽核),Pyridaben樹薯查無
92,薄荷,納乃得,確認,AI判定(待人工簽核),Methomyl薄荷查無
93,薏苡,培丹,誤判,AI判定(待人工簽核),"薏苡=薏仁,附表一Cartap薏仁0.2已覆蓋"
94,藜科小葉菜類,可芬諾,誤判,AI判定(待人工簽核),藜科小葉菜類(菠菜/甜菜)全覆蓋
95,藜科根菜類,可芬諾,誤判,AI判定(待人工簽核),藜科根菜類(甜菜根)全覆蓋
